,location,url,name,biz_id,address,category,star_rating
97,FINLAND,https://www.yelp.com/biz/j%C3%A4rvigrilli-oulu?osq=food,Järvigrilli,j%C3%A4rvigrilli-oulu,Järvitie,['Fast Food'],5.0
98,FINLAND,https://www.yelp.com/biz/noodle-bar9-oulu?osq=food,Noodle Bar9,noodle-bar9-oulu,Merikoskenkatu 9,['Asian Fusion'],4.5
99,FINLAND,https://www.yelp.com/biz/cafe-rooster-oulu?osq=food,Cafe Rooster,cafe-rooster-oulu,Torikatu 26,"['Coffee & Tea', 'Breakfast & Brunch', 'Burgers']",5.0
100,FRANCE,https://www.yelp.com/biz/roomies-paris?osq=food,Roomies,roomies-paris,14 rue du Cygne,['Burgers'],4.5
101,FRANCE,https://www.yelp.com/biz/sanukiya-paris?osq=food,Sanukiya,sanukiya-paris,9 rue d'Argenteuil,['Japanese'],4.5
102,FRANCE,https://www.yelp.com/biz/caf%C3%A9-plume-paris-2?osq=food,Café Plume,caf%C3%A9-plume-paris-2,164 rue Saint-Honoré,['Brasseries'],4.5
103,FRANCE,https://www.yelp.com/biz/l-avant-comptoir-paris-3?osq=food,L’Avant Comptoir,l-avant-comptoir-paris-3,,"['Tapas Bars', 'Wine Bars']",4.5
104,FRANCE,https://www.yelp.com/biz/chez-le-libanais-paris?osq=food,Chez le Libanais,chez-le-libanais-paris,35 et 36 rue Saint-André-des-Arts,['Lebanese'],4.5
105,FRANCE,https://www.yelp.com/biz/le-boui-boui-paris?osq=food,Le Boui Boui,le-boui-boui-paris,11 rue Marie Stuart,['French'],4.5
106,FRANCE,https://www.yelp.com/biz/homer-paris?osq=food,Homer,homer-paris,21 rue Rambuteau,['Fast Food'],4.5
107,FRANCE,https://www.yelp.com/biz/boulangerie-julien-paris-3?osq=food,Boulangerie Julien,boulangerie-julien-paris-3,75 rue Saint-Honoré,['Bakeries'],4.5
108,FRANCE,https://www.yelp.com/biz/fresh-noodles-et-wok-paris?osq=food,Fresh Noodles & Wok,fresh-noodles-et-wok-paris,23 rue Saint-Denis,"['Chinese', 'Pan Asian']",4.5
109,FRANCE,https://www.yelp.com/biz/cr%C3%AAperie-saint-eustache-paris-2?osq=food,Crêperie Saint Eustache,cr%C3%AAperie-saint-eustache-paris-2,2 rue Sauval,['Creperies'],4.5
110,GERMANY,https://www.yelp.com/biz/stadtklause-berlin?osq=food,Stadtklause,stadtklause-berlin,Bernburger Str. 35,['German'],4.5
111,GERMANY,https://www.yelp.com/biz/burgermeister-berlin?osq=food,Burgermeister,burgermeister-berlin,Oberbaumstr. 8,"['Fast Food', 'Burgers']",4.0
112,GERMANY,https://www.yelp.com/biz/momotaro-tavern-berlin?osq=food,Momotaro Tavern,momotaro-tavern-berlin,Panoramastr. 1 A,"['Burgers', 'Asian Fusion']",4.5
113,GERMANY,https://www.yelp.com/biz/southern-vittles-berlin-2?osq=food,Southern Vittles,southern-vittles-berlin-2,Lychener Str. 6,['American (Traditional)'],4.5
114,GERMANY,https://www.yelp.com/biz/birdhouse-imbiss-berlin?osq=food,Birdhouse Imbiss,birdhouse-imbiss-berlin,Heidestr. 58,['Food Stands'],5.0
115,GERMANY,https://www.yelp.com/biz/marthas-berlin-2?osq=food,Marthas,marthas-berlin-2,Mehringdamm 40,"['Burgers', 'Fast Food']",4.5
116,GERMANY,https://www.yelp.com/biz/pret-a-manger-berlin?osq=food,Pret A Manger,pret-a-manger-berlin,,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",4.5
117,GERMANY,https://www.yelp.com/biz/hellogoodpie-berlin?osq=food,Hellogoodpie,hellogoodpie-berlin,Falckensteinstr. 9,['Desserts'],5.0
